GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000165,214,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,8,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,217,121,1,1,20210113,DET,MIL
Shot Chart Detail,0022000165,231,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,6,51,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-50,90,1,1,20210113,DET,MIL
Shot Chart Detail,0022000165,251,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,5,53,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,130,160,1,1,20210113,DET,MIL
Shot Chart Detail,0022000165,562,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,7,11,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,4,1,1,20210113,DET,MIL
Shot Chart Detail,0022000182,566,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,8,51,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,232,75,1,1,20210115,MIL,DAL
Shot Chart Detail,0022000209,515,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,11,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,3,164,1,1,20210118,BKN,MIL
Shot Chart Detail,0022000209,521,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,10,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,130,122,1,1,20210118,BKN,MIL
Shot Chart Detail,0022000226,185,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,10,0,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-3,34,1,1,20210121,MIL,LAL
Shot Chart Detail,0022000254,183,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,9,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-187,196,1,1,20210124,MIL,ATL
Shot Chart Detail,0022000254,213,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,7,41,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,120,16,1,1,20210124,MIL,ATL
Shot Chart Detail,0022000254,223,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,6,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,76,146,1,1,20210124,MIL,ATL
Shot Chart Detail,0022000277,209,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,9,11,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,50,1,1,20210127,TOR,MIL
Shot Chart Detail,0022000277,290,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,4,12,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,-26,1,1,20210127,TOR,MIL
Shot Chart Detail,0022000277,550,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,9,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-147,213,1,1,20210127,TOR,MIL
Shot Chart Detail,0022000293,368,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,3,8,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-184,180,1,1,20210129,NOP,MIL
Shot Chart Detail,0022000293,386,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,3,7,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,201,174,1,1,20210129,NOP,MIL
Shot Chart Detail,0022000293,444,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,3,3,31,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-3,61,1,1,20210129,NOP,MIL
